name,sku,unitOfMeasure,defaultThreshold
Amoxicillin 500mg Capsules,PHRM-AMX-001,boxes,100
Paracetamol 500mg Tablets,PHRM-PCM-002,boxes,200
Ibuprofen 400mg Tablets,PHRM-IBU-003,boxes,150
Metformin 850mg Tablets,PHRM-MET-004,boxes,120
Atorvastatin 20mg Tablets,PHRM-ATV-005,boxes,80
Omeprazole 20mg Capsules,PHRM-OMP-006,boxes,90
Azithromycin 250mg Tablets,PHRM-AZT-007,boxes,60
Lisinopril 10mg Tablets,PHRM-LSN-008,boxes,70
Salbutamol 100mcg Inhaler,PHRM-SLB-009,units,50
Diazepam 5mg Tablets,PHRM-DZP-010,boxes,40
Ciprofloxacin 500mg Tablets,PHRM-CPF-011,boxes,75
Losartan 50mg Tablets,PHRM-LST-012,boxes,85
Cetirizine 10mg Tablets,PHRM-CTZ-013,boxes,110
Dexamethasone 4mg Injection,PHRM-DXM-014,vials,30
Normal Saline 0.9% 500ml IV,PHRM-NSL-015,bags,60
Surgical Gloves (Medium),PHRM-GLV-016,boxes,200
Disposable Syringes 5ml,PHRM-SYR-017,boxes,300
Gauze Bandage 10cm,PHRM-GZB-018,rolls,150
Antiseptic Solution 500ml,PHRM-ANT-019,bottles,80
Vitamin C 1000mg Effervescent,PHRM-VTC-020,tubes,120
